,Date,Departure Time,Revenue ($),Passengers (First Class),Passengers (Business Class),Passengers (Economy Class),Origin,Destination,Pod,Distance (km),Flight Number,Aircraft Type,Departure Gate,Arrival Gate,Airline
44,2023-06-13,09:06,3774.0,2.0,21.0,123.0,LHR,SIN,A,4483.0,765.0,Airbus A380,D,C,British Airways
45,2023-06-12,23:48,2657.0,4.0,20.0,157.5,SYD,LHR,B,1005.0,121.0,Airbus A380,D,D,British Airways
46,2023-07-04,01:19,3059.0,5.0,12.0,131.0,JFK,LHR,A,3671.0,835.0,Airbus A380,D,D,Emirates
47,2023-06-15,22:00,2414.0,8.0,17.0,196.35,DXB,CDG,B,1162.0,975.0,Airbus A380,D,D,British Airways
52,2023-06-08,00:36,1205.0,1.0,26.0,166.95000000000002,DXB,LAX,B,3967.0,143.0,Airbus A380,A,D,Qantas
53,2023-06-29,16:04,3795.0,7.0,18.0,96.0,ORD,BOG,A,4591.0,350.0,Boeing 737,B,D,British Airways
54,2023-07-03,04:32,3048.0,5.0,20.0,53.55,AMS,BOG,B,4492.0,345.0,Boeing 737,D,A,American Airlines
55,2023-06-13,13:38,3188.0,4.0,15.0,173.0,LHR,SIN,A,2691.0,690.0,Boeing 737,C,C,Qantas
56,2023-06-22,06:15,2704.0,6.0,14.0,75.0,LHR,CDG,A,2628.0,731.0,Airbus A380,A,C,Qantas
63,2023-06-15,18:12,2402.0,1.0,16.0,159.0,LHR,HND,A,3856.0,587.0,Airbus A380,C,B,Emirates
67,2023-07-02,07:55,3057.0,1.0,18.0,121.8,SYD,LHR,B,3510.0,922.0,Airbus A380,A,B,British Airways
72,2023-06-29,02:05,1243.0,9.0,18.0,89.0,JFK,LHR,A,3361.0,909.0,Airbus A380,A,C,British Airways
75,2023-06-26,16:01,3377.0,8.0,18.0,58.0,JFK,LAX,A,4890.0,402.0,Boeing 777,B,B,Emirates
76,2023-06-15,23:11,4279.0,7.0,17.0,74.0,ORD,HND,A,1634.0,387.0,Boeing 777,B,A,American Airlines
78,2023-06-20,12:45,1346.0,9.0,12.0,193.2,SYD,LAX,B,2472.0,279.0,Boeing 777,A,A,Emirates
88,2023-06-20,19:01,2492.0,7.0,13.0,54.6,AMS,HND,B,4298.0,437.0,Airbus A320,B,B,Emirates
90,2023-06-25,08:45,1103.0,5.0,16.0,125.0,JFK,LHR,A,2906.0,403.0,Airbus A380,A,C,American Airlines
92,2023-06-07,16:44,4140.0,5.0,12.0,116.55,DXB,BOG,B,4792.0,638.0,Airbus A320,C,A,Emirates
93,2023-06-13,03:08,3547.0,2.0,25.0,135.45000000000002,AMS,BOG,B,3545.0,202.0,Airbus A380,A,A,Qantas
95,2023-06-24,04:46,3542.0,4.0,24.0,98.7,DXB,LHR,B,3086.0,267.0,Boeing 737,C,C,Qantas
96,2023-06-10,04:42,1497.0,8.0,24.0,92.4,SYD,CDG,B,4787.0,872.0,Airbus A320,D,C,Qantas
97,2023-06-10,17:10,3133.0,8.0,23.0,108.15,AMS,LAX,B,3059.0,909.0,Boeing 777,B,A,Qantas
101,2023-07-05,13:03,3980.0,8.0,26.0,76.0,LHR,SIN,A,3560.0,742.0,Airbus A320,D,C,Qantas
102,2023-06-11,17:31,3062.0,2.0,24.0,201.6,SYD,LAX,B,2579.0,672.0,Boeing 737,A,B,American Airlines
103,2023-06-21,10:44,2626.0,4.0,20.0,192.15,AMS,BOG,B,2701.0,634.0,Airbus A320,B,B,Emirates
111,2023-06-20,11:28,1153.0,8.0,23.0,103.95,AMS,BOG,B,2116.0,230.0,Airbus A380,D,B,Emirates
112,2023-06-08,17:55,2771.0,7.0,12.0,90.0,ORD,SIN,A,2082.0,994.0,Airbus A320,D,D,American Airlines
119,2023-06-30,05:36,1284.0,1.0,14.0,76.0,JFK,BOG,A,1776.0,669.0,Airbus A380,B,B,Emirates
120,2023-06-23,20:13,4195.0,6.0,24.0,106.05,AMS,LHR,B,1737.0,347.0,Airbus A320,C,A,American Airlines
126,2023-06-29,07:33,1137.0,9.0,26.0,53.55,SYD,HND,B,4614.0,416.0,Airbus A380,D,B,American Airlines
127,2023-06-24,08:42,2034.0,10.0,14.0,81.9,SYD,LAX,B,4507.0,621.0,Boeing 737,B,B,American Airlines
130,2023-06-21,01:51,3060.0,8.0,28.0,173.25,SYD,LHR,B,1431.0,781.0,Airbus A320,D,D,American Airlines
133,2023-06-24,11:57,2002.0,1.0,16.0,186.0,LHR,BOG,A,2415.0,793.0,Airbus A380,A,A,British Airways
134,2023-06-24,18:43,2628.0,5.0,29.0,142.0,JFK,BOG,A,1483.0,517.0,Airbus A320,D,A,American Airlines
135,2023-06-21,00:10,1928.0,5.0,17.0,120.0,ORD,CDG,A,1072.0,285.0,Airbus A380,C,D,Emirates
142,2023-06-13,04:52,3414.0,4.0,10.0,87.0,ORD,CDG,A,1449.0,468.0,Boeing 777,D,A,American Airlines
147,2023-06-07,08:48,1264.0,7.0,21.0,100.8,SYD,BOG,B,3194.0,645.0,Airbus A380,C,C,Qantas
155,2023-06-17,04:04,2600.0,4.0,18.0,155.0,JFK,CDG,A,4775.0,723.0,Boeing 777,C,C,Emirates
156,2023-06-25,13:15,2547.0,1.0,25.0,200.55,DXB,BOG,B,3549.0,190.0,Airbus A380,D,C,Emirates
162,2023-06-28,04:33,1684.0,10.0,15.0,141.75,DXB,LHR,B,2793.0,492.0,Airbus A380,A,D,Qantas
163,2023-06-13,08:24,1740.0,6.0,18.0,188.0,LHR,HND,A,1196.0,445.0,Boeing 777,C,A,Emirates
165,2023-06-24,19:38,1666.0,6.0,12.0,204.75,DXB,HND,B,3960.0,815.0,Airbus A320,B,D,Emirates
166,2023-07-05,10:58,1101.0,7.0,21.0,145.95000000000002,AMS,BOG,B,1241.0,236.0,Boeing 777,A,B,British Airways
167,2023-06-21,05:06,1340.0,9.0,24.0,104.0,ORD,LHR,A,2207.0,418.0,Airbus A380,B,C,American Airlines
170,2023-06-21,20:37,4075.0,2.0,24.0,185.85,SYD,BOG,B,1793.0,511.0,Boeing 777,B,C,American Airlines
171,2023-06-24,12:43,3610.0,2.0,11.0,137.0,LHR,CDG,A,3227.0,133.0,Boeing 777,B,A,American Airlines
173,2023-06-06,17:06,4506.0,2.0,28.0,184.0,JFK,LAX,A,4933.0,442.0,Airbus A320,D,C,American Airlines
174,2023-07-05,17:28,3511.0,2.0,14.0,72.45,DXB,HND,B,2899.0,708.0,Boeing 777,C,A,British Airways
177,2023-06-16,08:42,3666.0,5.0,22.0,168.0,DXB,CDG,B,3238.0,244.0,Airbus A320,B,D,British Airways
178,2023-06-25,22:17,4059.0,7.0,17.0,171.0,JFK,CDG,A,2931.0,355.0,Boeing 737,A,D,Emirates
179,2023-07-04,16:50,1417.0,10.0,23.0,176.4,DXB,BOG,B,1721.0,975.0,Boeing 737,B,D,American Airlines
181,2023-07-01,20:38,3311.0,2.0,20.0,111.0,JFK,CDG,A,4930.0,555.0,Boeing 737,A,C,American Airlines
183,2023-06-27,20:14,1400.0,1.0,24.0,138.6,AMS,LHR,B,1941.0,202.0,Airbus A320,D,C,American Airlines
184,2023-06-14,23:08,2095.0,3.0,20.0,54.6,DXB,SIN,B,3150.0,945.0,Airbus A380,A,B,American Airlines
190,2023-06-15,10:53,3776.0,8.0,24.0,53.0,LHR,CDG,A,3579.0,782.0,Airbus A380,D,B,American Airlines
191,2023-06-19,05:28,1812.0,1.0,21.0,95.55,AMS,LAX,B,4908.0,815.0,Boeing 737,D,A,Emirates
192,2023-07-02,21:19,3976.0,1.0,10.0,101.85,DXB,SIN,B,4622.0,320.0,Airbus A320,C,B,British Airways
194,2023-06-10,10:21,3809.0,9.0,15.0,165.9,SYD,BOG,B,3506.0,199.0,Airbus A380,D,D,British Airways
195,2023-07-04,10:57,3683.0,2.0,14.0,144.9,DXB,CDG,B,4003.0,316.0,Airbus A320,B,A,British Airways
197,2023-06-20,08:28,2713.0,1.0,27.0,123.0,LHR,CDG,A,4707.0,109.0,Airbus A320,B,B,Qantas
199,2023-06-06,22:27,3384.0,5.0,22.0,208.95,DXB,BOG,B,1754.0,262.0,Airbus A320,C,A,Qantas
200,2023-06-30,14:20,1875.0,7.0,15.0,159.6,SYD,SIN,B,4058.0,303.0,Boeing 777,A,C,Qantas
202,2023-07-01,12:12,1368.0,9.0,27.0,96.0,JFK,HND,A,1970.0,620.0,Airbus A380,C,B,British Airways
203,2023-06-18,07:51,3487.0,10.0,20.0,181.0,LHR,LAX,A,2789.0,320.0,Airbus A380,C,A,Qantas
204,2023-06-11,15:26,1354.0,7.0,16.0,101.0,JFK,BOG,A,4324.0,219.0,Boeing 777,D,C,American Airlines
207,2023-06-10,16:49,4529.0,4.0,21.0,76.65,SYD,SIN,B,4722.0,656.0,Boeing 777,A,D,Emirates
208,2023-06-23,23:29,1248.0,8.0,19.0,109.0,ORD,HND,A,4922.0,356.0,Boeing 737,A,B,British Airways
211,2023-06-26,14:30,3001.0,3.0,17.0,51.0,LHR,CDG,A,4798.0,195.0,Boeing 737,B,B,British Airways
213,2023-06-06,14:40,4659.0,1.0,30.0,137.55,DXB,BOG,B,2414.0,960.0,Boeing 777,A,A,American Airlines
214,2023-06-25,01:49,2178.0,2.0,13.0,60.900000000000006,DXB,LHR,B,4479.0,850.0,Boeing 737,D,A,Emirates
221,2023-06-28,03:46,2543.0,1.0,14.0,91.35,AMS,SIN,B,2303.0,128.0,Airbus A320,C,A,American Airlines
227,2023-07-05,16:23,3514.0,4.0,13.0,106.0,JFK,BOG,A,3734.0,372.0,Airbus A320,D,C,American Airlines
229,2023-06-09,09:34,3325.0,6.0,23.0,69.3,DXB,BOG,B,1307.0,530.0,Boeing 737,A,B,Emirates
246,2023-06-23,09:10,2717.0,2.0,12.0,163.8,DXB,HND,B,3939.0,807.0,Airbus A320,D,A,Emirates
248,2023-07-01,22:12,3783.0,7.0,22.0,131.25,DXB,SIN,B,3833.0,116.0,Airbus A380,D,C,Emirates
249,2023-06-29,12:17,2825.0,4.0,20.0,174.3,SYD,HND,B,2219.0,775.0,Boeing 777,C,B,Emirates
250,2023-07-03,22:41,3363.0,9.0,10.0,116.55,DXB,BOG,B,3523.0,671.0,Boeing 737,C,A,British Airways
251,2023-06-20,22:57,3533.0,9.0,15.0,157.5,DXB,SIN,B,3469.0,394.0,Boeing 777,C,C,Qantas
254,2023-06-27,05:53,4855.0,10.0,13.0,76.65,SYD,BOG,B,1589.0,855.0,Airbus A380,A,A,American Airlines
255,2023-06-21,06:05,1539.0,1.0,17.0,92.4,DXB,BOG,B,2288.0,271.0,Airbus A380,D,C,British Airways
258,2023-06-12,23:51,2503.0,8.0,26.0,134.0,ORD,LHR,A,1625.0,110.0,Boeing 777,B,C,Qantas
259,2023-07-01,00:28,1971.0,6.0,22.0,182.7,AMS,HND,B,4634.0,400.0,Boeing 777,B,D,American Airlines
260,2023-06-12,21:07,3328.0,9.0,27.0,115.5,DXB,LHR,B,2443.0,800.0,Airbus A320,B,D,Qantas
262,2023-06-19,15:17,2776.0,1.0,11.0,81.9,DXB,SIN,B,3258.0,504.0,Airbus A320,B,D,Qantas
268,2023-06-24,03:11,1688.0,7.0,14.0,163.0,JFK,LAX,A,4262.0,744.0,Airbus A320,C,B,Qantas
269,2023-06-14,17:30,4384.0,10.0,23.0,191.0,JFK,CDG,A,4338.0,936.0,Boeing 737,D,D,Emirates
271,2023-06-29,08:34,2115.0,4.0,26.0,64.0,ORD,SIN,A,2898.0,354.0,Boeing 737,D,A,American Airlines
282,2023-06-08,12:13,3868.0,8.0,29.0,55.0,ORD,BOG,A,3992.0,621.0,Airbus A320,C,A,Qantas
284,2023-06-15,14:12,3703.0,5.0,10.0,121.8,DXB,CDG,B,2672.0,685.0,Boeing 777,A,B,British Airways
285,2023-07-02,12:07,2716.0,2.0,20.0,185.0,ORD,CDG,A,1435.0,858.0,Airbus A320,A,D,British Airways
296,2023-06-06,16:43,1959.0,7.0,30.0,51.0,JFK,CDG,A,4933.0,568.0,Boeing 777,B,C,American Airlines
297,2023-06-15,06:36,2501.0,3.0,17.0,81.9,AMS,LHR,B,2111.0,108.0,Boeing 777,D,D,Emirates
299,2023-06-10,04:28,3119.0,3.0,15.0,150.0,JFK,SIN,A,4579.0,340.0,Airbus A320,C,C,American Airlines
304,2023-06-10,11:36,3613.0,4.0,14.0,93.0,JFK,HND,A,1877.0,533.0,Airbus A380,B,D,Qantas
305,2023-06-08,07:30,2404.0,5.0,10.0,91.0,ORD,HND,A,1735.0,233.0,Boeing 737,B,A,British Airways
309,2023-06-15,11:43,4433.0,6.0,27.0,162.75,AMS,HND,B,3496.0,681.0,Boeing 777,D,C,British Airways
310,2023-06-11,18:48,1533.0,6.0,25.0,134.0,JFK,LHR,A,4527.0,905.0,Boeing 737,D,B,Qantas
314,2023-06-20,08:59,3419.0,10.0,12.0,124.95,DXB,SIN,B,2657.0,516.0,Boeing 737,A,B,Emirates
319,2023-06-23,14:54,4865.0,10.0,11.0,150.15,AMS,HND,B,2140.0,419.0,Boeing 777,A,C,Qantas
322,2023-06-20,01:23,3248.0,2.0,25.0,163.0,ORD,CDG,A,3611.0,314.0,Boeing 737,B,C,British Airways
323,2023-06-21,18:47,4664.0,4.0,22.0,86.0,LHR,LHR,A,3306.0,756.0,Boeing 777,B,B,American Airlines
326,2023-06-22,23:56,4144.0,4.0,22.0,69.3,DXB,CDG,B,2003.0,301.0,Airbus A380,D,A,Emirates
328,2023-06-27,17:25,4399.0,5.0,12.0,86.0,JFK,LHR,A,1773.0,284.0,Airbus A320,C,C,Emirates
329,2023-07-05,01:13,2782.0,2.0,29.0,175.0,ORD,LAX,A,1735.0,655.0,Boeing 777,B,C,British Airways
331,2023-06-22,07:42,3587.0,7.0,27.0,99.75,SYD,SIN,B,1581.0,729.0,Boeing 737,C,A,Emirates
333,2023-06-27,10:18,1532.0,3.0,18.0,158.55,AMS,SIN,B,2601.0,856.0,Boeing 737,B,C,American Airlines
334,2023-06-09,07:17,3135.0,6.0,13.0,192.0,JFK,LHR,A,2701.0,267.0,Airbus A320,A,A,American Airlines
338,2023-06-26,17:27,3453.0,6.0,11.0,81.0,ORD,CDG,A,1835.0,816.0,Airbus A320,A,A,Qantas
342,2023-06-08,09:23,1651.0,2.0,27.0,200.0,LHR,SIN,A,2794.0,569.0,Airbus A380,C,A,Emirates
345,2023-06-21,13:11,1231.0,8.0,16.0,62.0,JFK,CDG,A,2022.0,406.0,Airbus A320,A,C,Qantas
346,2023-06-21,22:08,3823.0,1.0,16.0,85.05,AMS,CDG,B,4730.0,264.0,Boeing 777,C,C,Qantas
353,2023-06-18,11:07,2405.0,6.0,16.0,69.0,LHR,LAX,A,4147.0,372.0,Boeing 737,C,D,Emirates
355,2023-06-26,18:07,3279.0,5.0,13.0,120.0,ORD,BOG,A,2182.0,471.0,Airbus A320,B,A,Emirates
368,2023-06-25,19:00,4160.0,2.0,17.0,103.0,JFK,SIN,A,3167.0,725.0,Boeing 777,D,D,American Airlines
370,2023-07-01,09:10,1750.0,5.0,14.0,73.0,JFK,LAX,A,3932.0,524.0,Airbus A380,B,D,Emirates
373,2023-06-21,22:03,2386.0,1.0,15.0,161.0,LHR,BOG,A,4635.0,861.0,Boeing 737,D,D,American Airlines
378,2023-06-20,19:31,1111.0,8.0,23.0,163.8,AMS,HND,B,2853.0,796.0,Airbus A320,A,A,Emirates
379,2023-06-18,01:49,1106.0,1.0,26.0,65.10000000000001,SYD,SIN,B,1117.0,817.0,Boeing 777,D,C,Emirates
381,2023-06-20,17:31,4019.0,10.0,21.0,173.0,JFK,CDG,A,2662.0,991.0,Boeing 777,A,A,American Airlines
383,2023-06-27,16:43,2237.0,8.0,27.0,124.95,DXB,CDG,B,2132.0,682.0,Boeing 777,C,B,American Airlines
384,2023-06-18,17:52,2767.0,3.0,16.0,196.35,AMS,CDG,B,3795.0,874.0,Boeing 737,D,A,Qantas
385,2023-06-29,12:05,1095.0,8.0,27.0,101.85,DXB,CDG,B,3219.0,792.0,Airbus A380,B,B,Qantas
386,2023-07-05,13:49,4033.0,1.0,29.0,147.0,SYD,BOG,B,2364.0,150.0,Airbus A320,D,C,American Airlines
388,2023-06-18,11:16,3302.0,5.0,22.0,84.0,LHR,SIN,A,1193.0,835.0,Boeing 737,C,B,Emirates
396,2023-06-20,15:54,1368.0,10.0,22.0,194.0,ORD,BOG,A,4110.0,386.0,Boeing 737,A,C,British Airways
397,2023-07-05,03:39,4193.0,3.0,18.0,82.95,AMS,LHR,B,2982.0,856.0,Airbus A320,C,C,Qantas
398,2023-06-19,18:22,3932.0,7.0,24.0,136.5,SYD,BOG,B,2917.0,624.0,Airbus A380,A,D,British Airways
399,2023-06-06,14:44,1662.0,3.0,26.0,86.10000000000001,SYD,BOG,B,3317.0,435.0,Airbus A380,A,B,British Airways
404,2023-06-30,00:51,1711.0,5.0,21.0,196.35,AMS,HND,B,2475.0,192.0,Boeing 777,C,D,Emirates
408,2023-06-25,22:10,1263.0,2.0,22.0,85.05,AMS,LHR,B,4307.0,738.0,Airbus A320,C,A,American Airlines
411,2023-06-30,22:45,4179.0,2.0,28.0,86.0,JFK,HND,A,2309.0,403.0,Airbus A380,A,A,British Airways
413,2023-06-12,16:28,4867.0,1.0,16.0,84.0,AMS,BOG,B,3971.0,160.0,Airbus A320,A,C,Emirates
416,2023-06-10,14:55,3501.0,1.0,21.0,106.05,DXB,LHR,B,1424.0,336.0,Boeing 737,A,C,British Airways
418,2023-06-29,05:17,2559.0,7.0,15.0,186.0,LHR,CDG,A,4867.0,423.0,Airbus A320,C,A,British Airways
419,2023-06-06,10:02,3155.0,6.0,27.0,166.0,LHR,LAX,A,4100.0,622.0,Airbus A320,C,D,American Airlines
421,2023-07-04,05:58,2798.0,8.0,13.0,55.0,JFK,SIN,A,3902.0,915.0,Airbus A380,B,B,British Airways
423,2023-06-07,03:34,3996.0,6.0,13.0,200.0,JFK,SIN,A,4059.0,758.0,Airbus A320,B,A,American Airlines
425,2023-06-14,12:00,2657.0,1.0,22.0,185.85,DXB,HND,B,2657.0,865.0,Boeing 737,C,D,British Airways
426,2023-06-15,06:43,1567.0,1.0,21.0,159.0,ORD,BOG,A,3811.0,122.0,Boeing 737,D,A,Qantas
428,2023-07-02,17:20,2186.0,4.0,19.0,190.0,LHR,BOG,A,2805.0,902.0,Boeing 737,D,B,British Airways
429,2023-06-09,14:09,4916.0,1.0,29.0,65.0,ORD,CDG,A,1124.0,894.0,Airbus A320,A,C,Qantas
430,2023-06-06,06:40,4160.0,8.0,23.0,172.0,ORD,BOG,A,1184.0,136.0,Boeing 737,D,D,Qantas
431,2023-06-26,04:40,1584.0,2.0,17.0,150.0,LHR,SIN,A,2535.0,835.0,Boeing 737,D,B,Emirates
437,2023-07-03,14:53,1154.0,1.0,19.0,159.0,JFK,CDG,A,1898.0,545.0,Airbus A380,C,B,Qantas
440,2023-06-23,19:59,1888.0,5.0,22.0,51.0,ORD,CDG,A,2147.0,223.0,Airbus A320,C,C,Emirates
443,2023-06-18,23:48,1451.0,4.0,28.0,152.0,ORD,LAX,A,3668.0,520.0,Airbus A320,D,C,American Airlines
445,2023-07-04,23:28,4069.0,2.0,10.0,110.0,JFK,SIN,A,4988.0,462.0,Boeing 737,A,B,American Airlines
450,2023-06-25,01:36,4965.0,10.0,11.0,151.0,JFK,LAX,A,1802.0,486.0,Boeing 777,D,D,American Airlines
451,2023-06-06,05:15,4208.0,1.0,30.0,185.0,LHR,SIN,A,4566.0,703.0,Boeing 777,A,A,Emirates
455,2023-06-08,20:09,3764.0,2.0,29.0,136.5,DXB,LHR,B,4648.0,223.0,Boeing 737,C,B,British Airways
459,2023-06-13,06:10,4968.0,6.0,30.0,171.15,AMS,HND,B,4568.0,211.0,Airbus A380,C,C,American Airlines
460,2023-06-26,07:48,3649.0,9.0,11.0,63.0,SYD,CDG,B,1362.0,205.0,Boeing 737,D,A,American Airlines
463,2023-06-09,02:39,2079.0,10.0,10.0,122.0,JFK,HND,A,3592.0,339.0,Boeing 737,B,B,British Airways
464,2023-07-03,21:57,3974.0,9.0,29.0,132.0,ORD,CDG,A,1681.0,145.0,Airbus A380,B,A,Emirates
468,2023-06-09,11:55,3036.0,6.0,25.0,200.55,AMS,CDG,B,3659.0,593.0,Boeing 777,A,A,British Airways
471,2023-06-21,04:01,2132.0,5.0,14.0,135.45000000000002,SYD,BOG,B,1323.0,987.0,Boeing 777,D,D,American Airlines
472,2023-06-10,19:30,2498.0,9.0,17.0,201.6,DXB,CDG,B,1597.0,270.0,Airbus A320,B,A,Qantas
477,2023-06-29,07:34,4078.0,2.0,20.0,199.5,DXB,SIN,B,2738.0,111.0,Airbus A320,A,A,Emirates
480,2023-06-16,07:10,1343.0,4.0,21.0,89.0,JFK,BOG,A,4662.0,777.0,Airbus A320,C,C,Emirates
481,2023-06-13,23:37,2314.0,4.0,16.0,169.0,LHR,CDG,A,1809.0,110.0,Airbus A320,B,C,Emirates
485,2023-06-14,07:09,4486.0,9.0,17.0,168.0,AMS,CDG,B,2572.0,892.0,Airbus A380,C,B,Emirates
486,2023-07-03,01:35,4237.0,10.0,27.0,129.0,JFK,HND,A,4912.0,266.0,Airbus A320,C,D,American Airlines
487,2023-06-17,02:18,3310.0,2.0,24.0,181.65,AMS,LHR,B,3886.0,911.0,Boeing 737,B,A,British Airways
489,2023-06-24,17:47,4506.0,1.0,19.0,121.8,DXB,LHR,B,3101.0,823.0,Boeing 777,D,C,Qantas
491,2023-07-05,04:34,1174.0,7.0,21.0,150.15,DXB,CDG,B,4230.0,259.0,Airbus A320,B,C,Emirates
493,2023-06-28,03:53,2219.0,6.0,11.0,104.0,LHR,SIN,A,4066.0,360.0,Boeing 777,B,C,Qantas
494,2023-06-28,13:11,3953.0,2.0,10.0,197.0,JFK,SIN,A,1847.0,576.0,Airbus A320,C,A,Qantas
496,2023-06-27,21:48,3059.0,2.0,25.0,79.8,DXB,CDG,B,1251.0,785.0,Boeing 777,C,B,American Airlines
498,2023-06-12,08:26,3355.0,8.0,24.0,175.0,LHR,LHR,A,4671.0,978.0,Boeing 777,A,C,Qantas
500,2023-06-23,00:41,2474.0,4.0,14.0,170.1,SYD,CDG,B,2075.0,315.0,Airbus A380,A,B,American Airlines
504,2023-06-24,06:49,1100.0,4.0,30.0,183.75,DXB,CDG,B,4201.0,750.0,Airbus A320,A,B,American Airlines
505,2023-07-01,15:45,3611.0,1.0,18.0,165.0,JFK,BOG,A,4656.0,906.0,Boeing 737,B,D,Qantas
506,2023-06-21,11:01,4212.0,4.0,18.0,164.0,JFK,HND,A,1660.0,215.0,Airbus A320,A,B,Emirates
512,2023-06-21,10:56,1682.0,4.0,19.0,137.0,LHR,LHR,A,4068.0,142.0,Airbus A380,C,B,British Airways
513,2023-06-25,21:54,4493.0,2.0,27.0,168.0,LHR,LHR,A,1527.0,843.0,Airbus A320,C,D,British Airways
520,2023-06-20,04:12,1636.0,4.0,19.0,199.5,DXB,CDG,B,3598.0,738.0,Airbus A380,B,A,American Airlines
521,2023-06-14,07:22,1133.0,8.0,24.0,190.05,DXB,SIN,B,4838.0,889.0,Airbus A380,C,B,American Airlines
522,2023-06-18,12:21,2003.0,5.0,29.0,103.95,DXB,CDG,B,4416.0,780.0,Boeing 777,B,A,British Airways
523,2023-06-10,16:25,4938.0,9.0,23.0,145.0,ORD,LAX,A,4656.0,285.0,Boeing 777,B,B,Qantas
524,2023-06-07,21:55,3417.0,8.0,30.0,95.55,AMS,LAX,B,3059.0,365.0,Airbus A380,B,C,British Airways
525,2023-07-04,02:38,1018.0,5.0,11.0,107.0,JFK,CDG,A,3478.0,640.0,Airbus A380,B,B,British Airways
527,2023-06-17,18:59,3169.0,4.0,10.0,169.05,AMS,HND,B,2426.0,244.0,Boeing 777,D,A,American Airlines
531,2023-06-16,12:54,3802.0,2.0,14.0,97.65,SYD,CDG,B,3404.0,309.0,Boeing 777,A,C,Emirates
534,2023-06-20,15:46,1313.0,9.0,27.0,106.0,JFK,CDG,A,2535.0,233.0,Airbus A320,D,D,American Airlines
539,2023-07-05,19:43,1561.0,5.0,13.0,170.0,LHR,LHR,A,3087.0,598.0,Airbus A320,A,B,British Airways
541,2023-06-18,02:54,2639.0,5.0,15.0,111.0,JFK,HND,A,2151.0,744.0,Airbus A320,A,C,British Airways
544,2023-06-17,23:58,2286.0,1.0,30.0,105.0,DXB,BOG,B,4270.0,868.0,Boeing 777,B,D,American Airlines
545,2023-07-03,19:10,3358.0,8.0,25.0,65.0,JFK,LHR,A,4832.0,713.0,Airbus A380,C,D,Qantas
548,2023-07-01,21:00,4841.0,9.0,14.0,95.55,AMS,BOG,B,1653.0,461.0,Airbus A380,C,B,American Airlines
549,2023-06-21,23:59,4097.0,3.0,30.0,181.65,AMS,BOG,B,4101.0,677.0,Airbus A320,A,D,American Airlines
550,2023-06-24,06:39,1850.0,1.0,20.0,103.0,JFK,LAX,A,3844.0,660.0,Airbus A320,D,A,Qantas
